stage_cluster,result,rows
early/cluster_00,cell_type_dataset_support.csv,286
early/cluster_00,dataset_run_summary.csv,8
early/cluster_00,directional_route_specificity_filtered.csv,1060
early/cluster_00,directional_route_specificity_top10.csv,10
early/cluster_00,lr_pair_specificity_filtered.csv,5
early/cluster_00,lr_pair_specificity_top10.csv,5
early/cluster_00,skipped_runs.csv,4
early/cluster_01,cell_type_dataset_support.csv,74
early/cluster_01,dataset_run_summary.csv,2
early/cluster_01,directional_route_specificity_filtered.csv,839
early/cluster_01,directional_route_specificity_top10.csv,10
early/cluster_01,lr_pair_specificity_filtered.csv,7
early/cluster_01,lr_pair_specificity_top10.csv,7
early/cluster_01,skipped_runs.csv,3
early/cluster_02,cell_type_dataset_support.csv,123
early/cluster_02,dataset_run_summary.csv,4
early/cluster_02,directional_route_specificity_filtered.csv,85
early/cluster_02,directional_route_specificity_top10.csv,10
early/cluster_02,lr_pair_specificity_filtered.csv,0
early/cluster_02,lr_pair_specificity_top10.csv,0
early/cluster_02,skipped_runs.csv,3
late/cluster_00,cell_type_dataset_support.csv,143
late/cluster_00,dataset_run_summary.csv,5
late/cluster_00,directional_route_specificity_filtered.csv,427
late/cluster_00,directional_route_specificity_top10.csv,10
late/cluster_00,lr_pair_specificity_filtered.csv,21
late/cluster_00,lr_pair_specificity_top10.csv,10
late/cluster_00,skipped_runs.csv,5
late/cluster_01,cell_type_dataset_support.csv,170
late/cluster_01,dataset_run_summary.csv,6
late/cluster_01,directional_route_specificity_filtered.csv,3492
late/cluster_01,directional_route_specificity_top10.csv,10
late/cluster_01,lr_pair_specificity_filtered.csv,146
late/cluster_01,lr_pair_specificity_top10.csv,10
late/cluster_01,skipped_runs.csv,3
late/cluster_02,cell_type_dataset_support.csv,-1
late/cluster_02,dataset_run_summary.csv,-1
late/cluster_02,skipped_runs.csv,2
