cell_type_adjusted,B cell,B cell dividing,Ciliated,Club_AT2/1_high,DC mature,Endothelial cell arterial,Endothelial cell capillary,Endothelial cell lymphatic,Endothelial cell venous,Fibroblast adventitial,Fibroblast alveolar,Fibroblast peribronchial,Macrophage,Macrophage alveolar,Mast cell,Mesothelial,Monocyte classical,Monocyte non-classical,NK cell,NK cell dividing,Neutrophils,Pericyte,Plasma cell,Plasma cell dividing,Smooth muscle cell,T cell CD4,T cell CD4 dividing,T cell CD8 activated,T cell CD8 dividing,T cell CD8 effector memory,T cell CD8 naive,T cell CD8 terminally exhausted,T cell NK-like,T cell regulatory,Tumor Adeno_Squamous,Tumor EMT_lowProlif,Tumor Evasive_HighProlif,Tumor Evasive_Prolif,Tumor Hypoxic_Prolif,Tumor LUAD_MSLN,Tumor Macrophage_Swallow,Tumor NSCLC_Prolif,Tumor OxPhos_Prolif,Tumor Secretory_LUAD,Tumor TTF1+_Quiescent,cDC1,cDC2,myeloid dividing,pDC,stromal dividing
B cell,0.0,1.7345011141787032e-09,0.7788882219943655,0.12051340898913081,0.0485571143018202,0.002472849300561333,1.341047893752049e-05,0.6249858985189767,0.02539105975458933,0.5859841478911393,0.07883274145637417,0.6261322964262882,0.06441635482583787,0.028108410326526438,0.19679363758978666,0.4744181198957504,0.1369563507951172,0.28125632713657983,0.10075264334011606,0.26508082590273485,0.2836095044332773,0.46739322429285296,0.20032376272031435,0.8809492147577908,0.6424406527854416,0.0015110365023765743,0.6352182700026221,0.18493511125355624,0.6915650073012907,0.670030608939779,3.6427536912086346e-08,0.6199224405291371,0.917315101786201,0.727565057601043,0.505467202519363,0.13246967155057462,0.1475242553635372,0.6176398051776316,0.39370829143321123,0.6621326851943239,0.07187859803788606,0.25867223720808225,0.2066707274662755,0.7374518438459231,0.005367748672024258,0.6867135374878507,0.013017328927323832,0.24039948777243028,0.5496825123368051,0.5225898873182738
B cell dividing,1.7345011141787032e-09,0.0,0.8776967657682305,0.5444287459501184,0.7903578884850194,0.7519096974758754,0.7743263206005536,0.7456490267628193,0.3527463440324708,0.7498092854846636,0.562617691416403,0.9699027054914967,0.8191307324089244,0.7624153786615541,0.716833154882433,0.643309464476712,0.6822652254942443,0.6211420618496957,0.12320665372305371,0.594185833354464,0.918638075620869,0.5813738891862559,0.5949630219760378,0.03432285590238176,0.572498704236118,0.31802570524544255,0.006428158532913757,0.10185100754299235,0.46223300850181237,0.1180254460615739,0.10810956842091562,0.8484021757878555,0.23484852087970193,0.700282592572358,0.7906660519152896,0.3042052758404081,0.5899476940057121,0.7298280587918338,0.7655106810647934,0.5672490450968606,0.2188052229415643,0.44315007152949754,0.5989426776111332,0.7059498524985481,0.15321560851847504,0.801760387881807,0.37293898523640356,0.7890921291006918,0.6964542653838477,0.9554186513668176
Ciliated,0.7788882219943655,0.8776967657682305,0.0,0.7808641128552479,0.587137898582971,0.534749294802306,0.8462850530208182,4.467479086475973e-09,0.6938537353385802,0.9133483555000492,0.42384051869389217,0.31469589630715616,0.2876562755823652,0.0005774796081820041,0.08718754800948265,0.8016694256068148,0.8865752336090901,4.444657970316232e-08,2.7114290052831774e-05,0.0219780050057932,0.4319456646569082,0.32815046904368883,0.24218767855233625,0.7814972010726915,0.6344118270660601,0.14768803679108378,0.22931128093463357,0.09189547508965785,0.6517297043237132,0.007193427289589542,0.9557377781308377,0.387449367164048,0.0029007346853499273,0.0020654361204880674,0.8118164826255152,0.2955989491177618,0.9793692629703885,0.3917309330618621,0.11114289065569304,0.7400169603969379,0.33792048157683413,0.77779027626508,0.9814381092840069,0.04282315021547981,0.6395940928730375,0.41105733467695493,0.2087870878166108,0.012657984944678282,0.9394306596215717,0.5431596928853548
Club_AT2/1_high,0.12051340898913081,0.5444287459501184,0.7808641128552479,0.0,0.3833305274731722,0.6260229095864265,0.7211953756916674,0.6085297550852296,0.27971320586538234,0.813763858035433,0.957065327916231,0.3890201472376293,0.4261815079546789,0.801917023803308,0.8129923822821218,0.7653355582219917,0.17474792272281883,0.6896496472491483,0.15134701392428684,0.27377748930944085,0.5497375610418039,0.5579323645122521,0.3240822488213631,0.37862467144367934,0.9546042977146666,0.3043254403694403,0.09022486684361689,0.10859812830208296,0.28553067981196284,0.01797066298349826,0.6077948622902345,0.30016019489683093,0.517127125098443,0.00398828577718296,0.8280837122828468,0.8095116859519127,0.86601360054757,0.5696881684073402,0.9247264381198185,0.8248018472404022,0.6312186694268306,0.2839691422246365,0.9632394317779509,0.9833044140018772,0.9782735950209502,0.6217293513196979,0.45380650120472227,0.6123214370820418,0.18803860529231384,0.6512102988261288
DC mature,0.0485571143018202,0.7903578884850194,0.587137898582971,0.3833305274731722,0.0,0.9465812761273039,0.7231973861996254,0.4322872209189727,0.5855820624210569,0.2629134945352771,0.6092047564242593,0.3302574926442911,0.343055705917726,0.22275888420935178,0.1317538301750263,0.29313883895662957,0.20922419539605017,0.3082883738154276,0.8218092560941215,0.7986473477259317,0.05784969929119283,0.8268054808742589,0.20877705645943503,0.0034019355842003058,0.03416557676510754,0.6034477212366512,0.09351593861764353,0.6314740049231744,0.7980701346806329,0.22413037939416477,0.2365173702962289,0.9895305742911206,0.8311871136888922,0.016247868720666775,0.40759980428788917,0.7614733070848073,0.41424349889990925,0.024414970176558907,0.5362088069649165,0.3966762043948735,0.16580298605714466,0.3059514989942945,0.7833244614112833,0.4539868685824927,0.6377047568722233,0.12868243554733183,3.844128353924106e-11,0.034614629423100764,0.7523388625456214,0.012546900982280148
Endothelial cell arterial,0.002472849300561333,0.7519096974758754,0.534749294802306,0.6260229095864265,0.9465812761273039,0.0,2.6067148902426996e-21,0.2431704676076247,3.01875602899594e-11,0.8644378069714728,0.4646580557603013,0.8367821215682186,0.8379559278186043,0.5728637993244416,0.07368043784875898,0.8435754579302563,0.384542780276362,0.027270959601259484,0.6013691636086511,0.9698354282835076,0.528195185821122,0.8415196608806899,0.4537991288776914,0.6546987635737417,0.08790247797804407,0.7323789535465307,0.28814961658873617,0.019460503864027832,0.545631563001411,0.4105652827862908,1.3616773318614607e-06,0.4460942625926731,0.01652058787115762,0.17130426865450255,0.9920873851507321,0.1772461876008495,0.29544314288497936,0.5207053746085794,0.9186587925825185,0.8992073866060224,0.14040742601207085,0.6537151135715801,0.5671525409076139,0.06701639052494007,0.2867301966514945,0.018012772206591598,0.7290200670536412,0.8330245848914204,0.9345143253123542,0.7814052875082376
Endothelial cell capillary,1.341047893752049e-05,0.7743263206005536,0.8462850530208182,0.7211953756916674,0.7231973861996254,2.6067148902426996e-21,0.0,0.8097256220740429,2.3296260076790174e-10,0.7972302817907382,0.436149782618919,0.7004895322151558,0.8471876612123048,0.6326918234525257,0.9220589858707715,0.7981148728437446,0.375718772922767,0.31676867551253907,0.9135829562947265,0.8155502056560392,0.5407189267840359,0.9226867003906339,0.7179118861792357,0.6959806199793894,0.3889293901609015,0.9067174379220516,0.4041882506887463,0.10453229489177229,0.9434746059266615,0.304953414144817,5.536138318085471e-08,0.984380899372288,0.07841038270677804,0.42430369049282896,0.8178372068509231,0.4199675305886144,0.6725963424917272,0.8635778696800073,0.9422848668644478,0.8143666947631659,0.2985505070151472,0.45715505685938745,0.6709036503929906,0.7668466292418544,0.3197449364431183,0.11721184368835307,0.9976211503073451,0.4775277168049507,0.7701854137733898,0.24519859804375524
Endothelial cell lymphatic,0.6249858985189767,0.7456490267628193,4.467479086475973e-09,0.6085297550852296,0.4322872209189727,0.2431704676076247,0.8097256220740429,0.0,0.07414648163497173,0.7624105610995853,0.5296921906243237,0.3741539464865381,0.6701009423555794,0.42565275890364196,0.898138852347156,0.5298529640602676,0.7698601191901697,4.287525953959701e-19,1.6953802778462466e-07,0.2133612242430998,0.4147685652203533,0.9762444055772739,0.4539232413362887,0.3598752943863552,0.5869112670649193,0.35032602883717534,0.19292433529324432,0.21333914480107474,0.43953970080907967,0.0816910028640951,0.8232972236482499,0.4623383148803616,6.201486248665835e-06,0.026779993017945043,0.6833779598133529,0.7926247437211014,0.47891642004428975,0.6223081243086221,0.11050341590076986,0.6775745159032796,0.37467964515594643,0.9525916065362192,0.7601283824854262,0.14815352160276163,0.6120613460076676,0.587723611530412,0.9939728278641489,0.8056035711717373,0.9298458995374291,0.7439619131946005
Endothelial cell venous,0.02539105975458933,0.3527463440324708,0.6938537353385802,0.27971320586538234,0.5855820624210569,3.01875602899594e-11,2.3296260076790174e-10,0.07414648163497173,0.0,0.8556434628729771,0.0017733785184836973,0.7654350457564606,0.6380234991500792,0.30646059277874443,0.00014811366138534762,0.25690313894435535,0.4769900344140535,0.3114925094628525,0.20224940122592608,0.8736839205447539,0.15292890132546336,0.000869083822052831,0.281741533314495,0.33311202361404973,4.4671088869819654e-08,0.46428715725248854,0.1257439213719475,0.4702302376609461,0.26291291440250364,0.6737470805016003,0.04145889434742655,0.24070022380127157,0.9914162634119406,0.0247433698766568,0.639719670088369,0.0074233312313951505,0.8216173241715977,0.20415283972503528,0.2941955512422687,0.6179818620868577,0.27348245753081063,0.7088117703912487,0.6266752500474935,0.9246084985019136,0.7275317236882555,0.6101514745628466,0.4293248019850964,0.3910703679244722,0.3607270325023676,0.3254474799347117
Fibroblast adventitial,0.5859841478911393,0.7498092854846636,0.9133483555000492,0.813763858035433,0.2629134945352771,0.8644378069714728,0.7972302817907382,0.7624105610995853,0.8556434628729771,0.0,0.8100670517106453,8.851705052484517e-36,0.30620286237060723,0.7078898754630657,0.924545177578819,0.9883140234676248,0.671945241057981,0.8449714522272306,0.05003785280633998,0.7468424461618016,0.6535349194910031,3.447321850933709e-12,0.5555253735916201,0.676154612015887,0.8427104411791391,0.5672714485492064,0.24490323464454536,0.2625414282767148,0.636123734099723,0.10002890311229949,0.5779840224008139,0.9852419716428409,0.2761000413010082,0.5432212932546859,0.9079209070396,0.5773023072272613,0.7591926011490588,0.8022750833462394,0.8559423839295284,0.879804819825436,0.4992067388800339,0.20814684229339087,0.7831108451141424,0.7200992899942418,0.47266262342761595,0.4383373661041031,0.30959195695443614,0.3136280840369612,0.7034048232722987,0.7528072871806265
