types	BD_immune01	Lambrechts_Thienpont_2018_6149v2_BT1290	Lambrechts_Thienpont_2018_6149v2_BT1291	Lambrechts_Thienpont_2018_6149v2_BT1292	Laughney_Massague_2020_GSM3516665	Maynard_Bivona_2020_LT_S01	Maynard_Bivona_2020_LT_S52	Maynard_Bivona_2020_LT_S56	Maynard_Bivona_2020_LT_S57	Maynard_Bivona_2020_LT_S58	Maynard_Bivona_2020_LT_S67	Maynard_Bivona_2020_LT_S71	Maynard_Bivona_2020_LT_S82	P23_T1	UKIM-V-2_P11_tumor_primary	UKIM-V-2_P15_tumor_primary	Zilionis_Klein_2019_p5t1	Zilionis_Klein_2019_p7t1	Zilionis_Klein_2019_p7t2	p019t	Kim_Lee_2020_LUNG_T28	Kim_Lee_2020_EBUS_28	Maynard_Bivona_2020_LT_S11	BD_immune07	BD_immune12	BD_immune13	BD_immune15	BD_immune05	Kim_Lee_2020_EBUS_06	Kim_Lee_2020_BRONCHO_58	Chen_Zhang_2020_NSCLC-8
AT2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
B cell	36.0	225.0	146.0	92.0	72.0	0.0	0.0	2.0	6.0	3.0	0.0	47.0	0.0	71.0	129.0	72.0	88.0	39.0	37.0	30.0	241.0	6.0	0.0	58.0	1193.0	111.0	361.0	194.0	98.0	102.0	147.0
B cell dividing	0.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	15.0	0.0	0.0	3.0	0.0	0.0	0.0
Ciliated	0.0	12.0	6.0	5.0	0.0	0.0	0.0	257.0	6.0	0.0	0.0	3.0	0.0	677.0	0.0	2.0	4.0	0.0	0.0	62.0	6.0	68.0	0.0	3.0	54.0	0.0	200.0	0.0	5.0	9.0	61.0
DC mature	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	3.0	9.0	0.0	0.0	2.0	52.0	2.0	7.0	0.0	3.0	6.0	0.0	0.0	0.0	0.0	11.0	3.0	10.0	10.0	2.0	0.0	0.0	31.0
Endothelial cell arterial	0.0	3.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Endothelial cell capillary	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	82.0	3.0	0.0	11.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Endothelial cell lymphatic	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	2.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
Endothelial cell venous	12.0	117.0	110.0	6.0	37.0	0.0	0.0	0.0	17.0	9.0	0.0	62.0	9.0	38.0	0.0	12.0	19.0	16.0	17.0	14.0	12.0	3.0	2.0	103.0	0.0	2.0	6.0	3.0	2.0	10.0	18.0
Fibroblast adventitial	0.0	2.0	6.0	0.0	8.0	0.0	7.0	0.0	50.0	0.0	2.0	40.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	7.0	5.0	2.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	11.0	0.0
Fibroblast alveolar	0.0	61.0	36.0	0.0	6.0	2.0	4.0	0.0	115.0	0.0	0.0	59.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	32.0	4.0	3.0	3.0	10.0	0.0	0.0	4.0	0.0	0.0	6.0	0.0
Fibroblast peribronchial	12.0	56.0	77.0	11.0	189.0	6.0	3.0	0.0	20.0	2.0	0.0	41.0	26.0	13.0	2.0	27.0	10.0	9.0	6.0	9.0	20.0	0.0	0.0	166.0	0.0	5.0	3.0	14.0	0.0	33.0	3.0
Macrophage	766.0	518.0	277.0	364.0	290.0	6.0	59.0	0.0	63.0	60.0	4.0	34.0	99.0	8289.0	500.0	338.0	133.0	297.0	369.0	142.0	553.0	43.0	3.0	952.0	567.0	2641.0	2214.0	148.0	123.0	189.0	2117.0
Macrophage alveolar	6.0	35.0	22.0	38.0	100.0	0.0	0.0	0.0	8.0	3.0	2.0	0.0	9.0	9400.0	17.0	10.0	93.0	203.0	201.0	52.0	108.0	5.0	0.0	95.0	14.0	17.0	1201.0	0.0	4.0	35.0	1523.0
Mast cell	45.0	63.0	50.0	30.0	180.0	3.0	21.0	5.0	63.0	52.0	0.0	74.0	28.0	42.0	15.0	26.0	8.0	72.0	71.0	22.0	148.0	35.0	6.0	147.0	67.0	12.0	50.0	9.0	0.0	51.0	178.0
Mesothelial	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
Monocyte classical	222.0	98.0	84.0	116.0	32.0	0.0	10.0	13.0	67.0	186.0	4.0	27.0	43.0	4204.0	74.0	124.0	69.0	217.0	242.0	63.0	93.0	26.0	0.0	698.0	207.0	813.0	259.0	76.0	185.0	97.0	247.0
Monocyte non-classical	0.0	9.0	10.0	6.0	6.0	0.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	17.0	3.0	32.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	2.0	18.0	0.0	10.0	2.0	9.0
NK cell	139.0	88.0	96.0	48.0	54.0	0.0	0.0	2.0	19.0	4.0	0.0	5.0	14.0	300.0	446.0	80.0	0.0	17.0	16.0	38.0	114.0	30.0	0.0	95.0	88.0	70.0	371.0	45.0	126.0	175.0	621.0
NK cell dividing	5.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	3.0	4.0	0.0	7.0	8.0	2.0	0.0	17.0
Neutrophils	2000.0	0.0	0.0	0.0	0.0	0.0	12.0	60.0	90.0	0.0	27.0	2.0	13.0	0.0	60.0	103.0	0.0	362.0	229.0	0.0	0.0	0.0	0.0	3.0	1899.0	1574.0	1444.0	74.0	0.0	0.0	2.0
Pericyte	9.0	36.0	51.0	12.0	21.0	0.0	8.0	0.0	24.0	0.0	0.0	25.0	20.0	5.0	0.0	0.0	0.0	0.0	6.0	0.0	5.0	0.0	0.0	54.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
Plasma cell	233.0	27.0	69.0	12.0	10.0	0.0	40.0	0.0	26.0	49.0	0.0	106.0	25.0	27.0	222.0	98.0	80.0	80.0	93.0	22.0	253.0	0.0	10.0	55.0	201.0	41.0	14.0	257.0	3.0	30.0	17.0
Plasma cell dividing	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	8.0	2.0	0.0	0.0	3.0	0.0	0.0
Smooth muscle cell	0.0	10.0	6.0	0.0	12.0	0.0	0.0	0.0	14.0	4.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	3.0	7.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	11.0	2.0
