stage,cluster,contrast,cell_type,gene,dataset_support,mean_auc,min_auc,max_auc,eligible_datasets,support_fraction,rank
I-II,0,normal-vs-normal,B cell,MS4A1,11,0.8811334000288614,0.7356274274524799,0.9623907997773876,11,1.0,1
I-II,0,normal-vs-normal,B cell,CD79A,11,0.8632472883965838,0.7535559187651045,0.9425216077776266,11,1.0,2
I-II,0,normal-vs-normal,B cell,CD37,11,0.7815158070118653,0.7007133870686943,0.8759601805933775,11,1.0,3
I-II,0,normal-vs-normal,B cell,IGKC,11,0.7226232295072778,0.6525835747491355,0.803221312664347,11,1.0,4
I-II,0,normal-vs-normal,B cell,BANK1,10,0.800435674778098,0.6660712702721976,0.9234935339472132,11,0.9090909090909091,5
I-II,0,normal-vs-normal,B cell,CXCR4,10,0.7455088178189099,0.69253562144244,0.8154849243562429,11,0.9090909090909091,6
I-II,0,normal-vs-normal,B cell,HLA-DRA,10,0.7425174804220711,0.6805049091764285,0.8041754263799822,11,0.9090909090909091,7
I-II,0,normal-vs-normal,B cell,IGHM,10,0.7327751912854639,0.6638788319201419,0.8738731817686589,11,0.9090909090909091,8
I-II,0,normal-vs-normal,B cell,LTB,9,0.7437393098750115,0.6927049757317353,0.8044556386547835,11,0.8181818181818182,9
I-II,0,normal-vs-normal,B cell,VPREB3,9,0.73782316241393,0.6615998288924866,0.8296275347049094,11,0.8181818181818182,10
I-II,0,normal-vs-normal,B cell dividing,MS4A1,5,0.9883071262427074,0.9657683684297014,0.9993111101857272,5,1.0,1
I-II,0,normal-vs-normal,B cell dividing,HMGN2,5,0.9678606011756437,0.9375579801283168,0.9832471304414613,5,1.0,2
I-II,0,normal-vs-normal,B cell dividing,CD79A,5,0.9666339436711512,0.9004342381588262,0.9968958491350326,5,1.0,3
I-II,0,normal-vs-normal,B cell dividing,HMGB2,5,0.959603101319072,0.9364045824747568,0.9765418541746448,5,1.0,4
I-II,0,normal-vs-normal,B cell dividing,CD22,5,0.9425460709235951,0.816484835482568,0.9962993643065831,5,1.0,5
I-II,0,normal-vs-normal,B cell dividing,CD79B,5,0.9417132800350319,0.8462918738219894,0.9977052820821997,5,1.0,6
I-II,0,normal-vs-normal,B cell dividing,STMN1,5,0.9396606258750027,0.922382371600677,0.9484912774713337,5,1.0,7
I-II,0,normal-vs-normal,B cell dividing,LIMD2,5,0.9340434188999256,0.8424244301548538,0.9848470909445751,5,1.0,8
I-II,0,normal-vs-normal,B cell dividing,CORO1A,5,0.9330419962154295,0.8700988003884859,0.9861101000587398,5,1.0,9
I-II,0,normal-vs-normal,B cell dividing,PTTG1,5,0.9262041166771124,0.8727688419242391,0.9850812116265482,5,1.0,10
I-II,0,normal-vs-normal,DC mature,LAMP3,9,0.9233647621732894,0.8046244285491855,0.9981425735169683,9,1.0,1
I-II,0,normal-vs-normal,DC mature,BIRC3,9,0.9182079863580209,0.7789649912931007,0.9961403618416732,9,1.0,2
I-II,0,normal-vs-normal,DC mature,MARCKSL1,9,0.9150861194140596,0.8265178203034107,0.9790405360759734,9,1.0,3
I-II,0,normal-vs-normal,DC mature,CCR7,9,0.9139608598146166,0.80602987356382,0.9863457341712913,9,1.0,4
I-II,0,normal-vs-normal,DC mature,FSCN1,9,0.9038675764213918,0.7673759563249466,0.9861398389285608,9,1.0,5
I-II,0,normal-vs-normal,DC mature,TXN,9,0.9024187631815016,0.8314022959156205,0.9518325563835729,9,1.0,6
I-II,0,normal-vs-normal,DC mature,BASP1,9,0.8802481137552366,0.7888714974927049,0.9529838075453888,9,1.0,7
I-II,0,normal-vs-normal,DC mature,CSF2RA,9,0.8787703506695111,0.7222966832019319,0.9473078945061612,9,1.0,8
I-II,0,normal-vs-normal,DC mature,HLA-DPB1,9,0.8773217197296632,0.7892647741301718,0.9161464545161677,9,1.0,9
I-II,0,normal-vs-normal,DC mature,LSP1,9,0.8728190114360479,0.7661828780195533,0.9469710990408184,9,1.0,10
I-II,0,normal-vs-normal,Endothelial cell arterial,IFI27,9,0.9631232599907771,0.9470927002782155,0.9761728393169682,9,1.0,1
I-II,0,normal-vs-normal,Endothelial cell arterial,RAMP2,9,0.9510566448564229,0.9106571773633841,0.9851421741792751,9,1.0,2
