stage,cluster,contrast,dataset,status,source_file
I-II,0,tumor-vs-all,Chen_Zhang_2020,complete,I-II_Chen_Zhang_2020_cluster_0_tumorall.npy
I-II,1,tumor-vs-all,Chen_Zhang_2020,complete,I-II_Chen_Zhang_2020_cluster_1_tumorall.npy
I-II,0,normal-vs-normal,Chen_Zhang_2020,complete,I-II_Chen_Zhang_2020_normal_cluster_0_tumorall.npy
I-II,1,normal-vs-normal,Chen_Zhang_2020,complete,I-II_Chen_Zhang_2020_normal_cluster_1_tumorall.npy
I-II,1,tumor-vs-all,Deng_Liu_LUAD_2024,complete,I-II_Deng_Liu_LUAD_2024_cluster_1_tumorall.npy
I-II,1,normal-vs-normal,Deng_Liu_LUAD_2024,complete,I-II_Deng_Liu_LUAD_2024_normal_cluster_1_tumorall.npy
I-II,0,tumor-vs-all,He_Fan_2021,complete,I-II_He_Fan_2021_cluster_0_tumorall.npy
I-II,2,tumor-vs-all,He_Fan_2021,complete,I-II_He_Fan_2021_cluster_2_tumorall.npy
I-II,0,normal-vs-normal,He_Fan_2021,complete,I-II_He_Fan_2021_normal_cluster_0_tumorall.npy
I-II,2,normal-vs-normal,He_Fan_2021,complete,I-II_He_Fan_2021_normal_cluster_2_tumorall.npy
I-II,0,tumor-vs-all,Kim_Lee_2020,complete,I-II_Kim_Lee_2020_cluster_0_tumorall.npy
I-II,2,tumor-vs-all,Kim_Lee_2020,complete,I-II_Kim_Lee_2020_cluster_2_tumorall.npy
I-II,0,normal-vs-normal,Kim_Lee_2020,complete,I-II_Kim_Lee_2020_normal_cluster_0_tumorall.npy
I-II,2,normal-vs-normal,Kim_Lee_2020,complete,I-II_Kim_Lee_2020_normal_cluster_2_tumorall.npy
I-II,2,tumor-vs-all,Lambrechts_Thienpont_2018_6149v1,complete,I-II_Lambrechts_Thienpont_2018_6149v1_cluster_2_tumorall.npy
I-II,2,normal-vs-normal,Lambrechts_Thienpont_2018_6149v1,complete,I-II_Lambrechts_Thienpont_2018_6149v1_normal_cluster_2_tumorall.npy
I-II,0,tumor-vs-all,Lambrechts_Thienpont_2018_6149v2,complete,I-II_Lambrechts_Thienpont_2018_6149v2_cluster_0_tumorall.npy
I-II,2,tumor-vs-all,Lambrechts_Thienpont_2018_6149v2,complete,I-II_Lambrechts_Thienpont_2018_6149v2_cluster_2_tumorall.npy
I-II,0,normal-vs-normal,Lambrechts_Thienpont_2018_6149v2,complete,I-II_Lambrechts_Thienpont_2018_6149v2_normal_cluster_0_tumorall.npy
I-II,2,normal-vs-normal,Lambrechts_Thienpont_2018_6149v2,complete,I-II_Lambrechts_Thienpont_2018_6149v2_normal_cluster_2_tumorall.npy
I-II,0,tumor-vs-all,Lambrechts_Thienpont_2018_6653,complete,I-II_Lambrechts_Thienpont_2018_6653_cluster_0_tumorall.npy
I-II,0,normal-vs-normal,Lambrechts_Thienpont_2018_6653,complete,I-II_Lambrechts_Thienpont_2018_6653_normal_cluster_0_tumorall.npy
I-II,0,tumor-vs-all,Laughney_Massague_2020,complete,I-II_Laughney_Massague_2020_cluster_0_tumorall.npy
I-II,2,tumor-vs-all,Laughney_Massague_2020,complete,I-II_Laughney_Massague_2020_cluster_2_tumorall.npy
